flight_id,airline,origin,destination,departure_date,departure_time,arrival_date,arrival_time,latency_minutes,status
1,Lufthansa,CDG,JFK,2024-01-01,09:10,2024-01-01,16:12,15,On-Time
2,easyJet,FRA,LHR,2024-01-02,12:12,2024-01-02,13:37,12,On-Time
3,British Airways,LHR,DUB,2024-01-03,15:16,2024-01-03,16:15,3,On-Time
4,TAP Air Portugal,LHR,DUB,2024-01-04,15:03,2024-01-04,16:18,12,Delayed
5,Air France,ATH,FCO,2024-01-05,16:54,2024-01-05,19:09,15,On-Time
6,KLM,FRA,LHR,2024-01-06,11:29,2024-01-06,12:58,20,On-Time
7,KLM,MAD,PMI,2024-01-07,18:46,2024-01-07,19:36,0,On-Time
8,TAP Air Portugal,FRA,LHR,2024-01-08,10:00,2024-01-08,11:46,1,On-Time
9,Lufthansa,CDG,JFK,2024-01-09,08:53,2024-01-09,15:59,168,Cancelled
10,TAP Air Portugal,STN,DUB,2024-01-10,15:50,2024-01-10,16:56,0,On-Time
11,KLM,LHR,DUB,2024-01-11,09:33,2024-01-11,10:35,11,On-Time
12,Iberia,ZRH,BCN,2024-01-12,09:36,2024-01-12,11:23,15,On-Time
13,Air France,LHR,DUB,2024-01-13,18:44,2024-01-13,20:02,20,On-Time
14,Vueling,MUC,AMS,2024-01-14,08:37,2024-01-14,10:26,12,On-Time
15,Swiss,BCN,MAD,2024-01-15,07:22,2024-01-15,08:40,0,On-Time
16,TAP Air Portugal,MUC,AMS,2024-01-16,11:48,2024-01-16,13:29,3,On-Time
17,Iberia,MXP,VIE,2024-01-17,06:33,2024-01-17,07:49,44,Delayed
18,TAP Air Portugal,MAD,PMI,2024-01-18,11:34,2024-01-18,12:46,9,On-Time
19,Swiss,MXP,VIE,2024-01-19,21:34,2024-01-19,22:47,16,On-Time
20,Ryanair,ATH,FCO,2024-01-20,10:48,2024-01-20,12:43,15,On-Time
21,Iberia,ZRH,BCN,2024-01-21,21:16,2024-01-21,23:05,128,Cancelled
22,Lufthansa,VCE,CDG,2024-01-22,10:05,2024-01-22,12:20,0,On-Time
23,Iberia,AMS,FCO,2024-01-23,14:12,2024-01-23,16:10,2,On-Time
24,KLM,MUC,AMS,2024-01-24,09:05,2024-01-24,10:26,6,On-Time
25,Vueling,FRA,LHR,2024-01-25,17:29,2024-01-25,19:23,59,Delayed
26,Iberia,BCN,MAD,2024-01-26,13:06,2024-01-26,14:19,4,On-Time
27,Vueling,LIS,ORY,2024-01-27,20:51,2024-01-27,23:16,0,On-Time
28,KLM,ZRH,BCN,2024-01-28,12:42,2024-01-28,14:22,12,On-Time
29,Lufthansa,AMS,FCO,2024-01-29,15:02,2024-01-29,17:14,16,On-Time
30,Air France,LHR,DUB,2024-01-30,20:27,2024-01-30,21:27,39,Delayed
31,Lufthansa,MXP,VIE,2024-01-31,09:45,2024-01-31,11:29,17,On-Time
32,Vueling,MAD,PMI,2024-02-01,09:08,2024-02-01,10:26,69,Delayed
33,British Airways,FRA,LHR,2024-02-02,16:14,2024-02-02,18:04,0,On-Time
34,Air France,OPO,LIS,2024-02-03,21:47,2024-02-03,22:26,13,On-Time
35,KLM,ATH,FCO,2024-02-04,09:14,2024-02-04,11:14,0,On-Time
36,Ryanair,ZRH,BCN,2024-02-05,19:55,2024-02-05,21:32,8,On-Time
37,easyJet,FRA,LHR,2024-02-06,16:07,2024-02-06,17:30,185,Cancelled
38,Iberia,LIS,ORY,2024-02-07,13:12,2024-02-07,15:38,22,Delayed
39,Air France,BCN,MAD,2024-02-08,05:02,2024-02-08,06:29,7,On-Time
40,TAP Air Portugal,BRU,CPH,2024-02-09,16:17,2024-02-09,18:11,0,On-Time
41,Ryanair,LHR,DUB,2024-02-10,14:53,2024-02-10,15:54,14,On-Time
42,easyJet,MUC,AMS,2024-02-11,07:41,2024-02-11,09:02,141,Cancelled
43,Lufthansa,VCE,CDG,2024-02-12,06:10,2024-02-12,07:57,6,On-Time
44,Vueling,LHR,DUB,2024-02-13,15:08,2024-02-13,16:08,9,On-Time
45,TAP Air Portugal,OPO,LIS,2024-02-14,14:38,2024-02-14,15:31,46,Delayed
46,British Airways,STN,DUB,2024-02-15,07:14,2024-02-15,08:16,16,On-Time
47,Lufthansa,CDG,JFK,2024-02-16,15:36,2024-02-16,22:30,7,On-Time
48,KLM,MUC,AMS,2024-02-17,20:00,2024-02-17,21:33,11,On-Time
49,Iberia,ZRH,BCN,2024-02-18,17:00,2024-02-18,18:52,16,On-Time
50,Air France,OPO,LIS,2024-02-19,10:06,2024-02-19,10:45,35,Delayed
51,Iberia,STN,DUB,2024-02-20,20:11,2024-02-20,21:00,9,On-Time
52,British Airways,BRU,CPH,2024-02-21,08:28,2024-02-21,10:07,10,On-Time
53,Ryanair,MUC,AMS,2024-02-22,06:34,2024-02-22,08:19,53,Delayed
54,Iberia,OPO,LIS,2024-02-23,07:45,2024-02-23,08:46,7,On-Time
55,TAP Air Portugal,MXP,VIE,2024-02-24,06:54,2024-02-24,08:11,34,Delayed
56,Air France,VCE,CDG,2024-02-25,14:56,2024-02-25,16:48,2,On-Time
57,Air France,STN,DUB,2024-02-26,20:20,2024-02-26,21:05,41,Delayed
58,Lufthansa,AMS,FCO,2024-02-27,20:05,2024-02-27,22:29,150,Cancelled
59,Iberia,MUC,AMS,2024-02-28,19:45,2024-02-28,21:13,151,Cancelled
